А,1286
Б,1753
В,549
Г,1045
Д,798
Е,108
Ж,424
З,664
И,367
Й,4
К,2411
Л,732
М,1349
Н,495
О,834
П,1858
Р,607
С,1901
Т,1049
У,280
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Э,234
Ю,146
Я,222
